"t","m","merr"
2451604.55466,16.452,0.012
2451606.58951,16.569,0.013
2451609.63088,16.402,0.011
2451610.61602,16.695,0.014
2451613.50706,16.404,0.013
2451615.53897,16.396,0.011
2451617.61038,16.394,0.011
2451619.59399,16.406,0.013
2451620.54521,16.705,0.015
2451622.49535,16.629,0.016
2451624.49189,16.649,0.018
2451626.49274,16.702,0.014
2451627.61383,16.387,0.015
2451629.49288,16.387,0.013
2451630.56433,16.591,0.012
2451632.51078,16.678,0.013
2451634.48853,16.708,0.014
2451643.48046,16.403,0.016
2451645.53064,16.422,0.024
2451646.47943,16.514,0.013
2451650.58113,16.414,0.022
2451654.5179,16.425,0.014
2451656.50408,16.404,0.012
2451659.51152,16.477,0.012
2451661.5355,16.556,0.012
2451663.56078,16.696,0.012
2451667.50243,16.611,0.015
2451670.52417,16.387,0.013
2451673.4946,16.69,0.016
2451681.46454,16.658,0.023
2451691.5034,16.478,0.014
